
2024/10/31 (20:34:46) | ===> btop++ v.1.4.0
2024/10/31 (20:34:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (20:22:12) | ===> btop++ v.1.4.0
2024/11/01 (20:22:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (20:22:43) | ===> btop++ v.1.4.0
2024/11/01 (20:22:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (20:33:32) | ===> btop++ v.1.4.0
2024/11/01 (20:33:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (20:35:30) | ===> btop++ v.1.4.0
2024/11/01 (20:35:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (12:51:35) | ===> btop++ v.1.4.0
2024/11/04 (12:51:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (12:52:27) | ===> btop++ v.1.4.0
2024/11/04 (12:52:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (12:52:34) | ===> btop++ v.1.4.0
2024/11/04 (12:52:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (12:52:40) | ===> btop++ v.1.4.0
2024/11/04 (12:52:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (12:56:27) | ===> btop++ v.1.4.0
2024/11/04 (12:56:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (13:39:38) | ===> btop++ v.1.4.0
2024/11/04 (13:39:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (17:42:17) | ===> btop++ v.1.4.0
2024/11/04 (17:42:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (17:43:35) | ===> btop++ v.1.4.0
2024/11/04 (17:43:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (18:58:25) | ===> btop++ v.1.4.0
2024/11/04 (18:58:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (15:42:01) | ===> btop++ v.1.4.0
2024/11/05 (15:42:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (17:26:24) | ===> btop++ v.1.4.0
2024/11/05 (17:26:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (17:27:09) | ===> btop++ v.1.4.0
2024/11/05 (17:27:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (17:27:53) | ===> btop++ v.1.4.0
2024/11/05 (17:27:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (17:27:56) | ===> btop++ v.1.4.0
2024/11/05 (17:27:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (17:27:58) | ===> btop++ v.1.4.0
2024/11/05 (17:27:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (17:37:52) | ===> btop++ v.1.4.0
2024/11/05 (17:37:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (18:34:11) | ===> btop++ v.1.4.0
2024/11/05 (18:34:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (20:05:01) | ===> btop++ v.1.4.0
2024/11/05 (20:05:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (16:00:08) | ===> btop++ v.1.4.0
2024/11/06 (16:00:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (16:10:11) | ===> btop++ v.1.4.0
2024/11/06 (16:10:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (16:16:17) | ===> btop++ v.1.4.0
2024/11/06 (16:16:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (16:16:30) | ===> btop++ v.1.4.0
2024/11/06 (16:16:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (16:24:49) | ===> btop++ v.1.4.0
2024/11/06 (16:24:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (14:13:13) | ===> btop++ v.1.4.0
2024/11/07 (14:13:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (14:13:24) | ===> btop++ v.1.4.0
2024/11/07 (14:13:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (14:46:00) | ===> btop++ v.1.4.0
2024/11/07 (14:46:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (14:47:36) | ===> btop++ v.1.4.0
2024/11/07 (14:47:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (14:48:19) | ===> btop++ v.1.4.0
2024/11/07 (14:48:19) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/07 (14:48:49) | INFO: Logger set to INFO
2024/11/07 (14:48:52) | INFO: Logger set to DEBUG
2024/11/07 (14:48:52) | INFO: Logger set to INFO
2024/11/07 (14:48:57) | INFO: Logger set to DEBUG
2024/11/07 (14:49:05) | INFO: Logger set to INFO
2024/11/07 (14:49:06) | INFO: Logger set to INFO
2024/11/07 (14:49:10) | INFO: Logger set to DEBUG
2024/11/07 (14:49:10) | INFO: Logger set to INFO
2024/11/07 (14:53:39) | INFO: Quitting! Runtime: 00:05:20

2024/11/07 (15:48:50) | ===> btop++ v.1.4.0
2024/11/07 (15:48:50) | INFO: Logger set to INFO
2024/11/07 (15:48:50) | INFO: Running on /dev/pts/1
2024/11/07 (15:48:50) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/07 (15:48:50) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/07 (15:48:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (15:49:52) | ===> btop++ v.1.4.0
2024/11/07 (15:49:52) | INFO: Logger set to INFO
2024/11/07 (15:49:52) | INFO: Running on /dev/pts/1
2024/11/07 (15:49:52) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/07 (15:49:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/07 (15:49:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (17:40:37) | ===> btop++ v.1.4.0
2024/11/07 (17:40:37) | INFO: Logger set to INFO
2024/11/07 (17:40:37) | INFO: Running on /dev/pts/1
2024/11/07 (17:40:37) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/07 (17:40:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/07 (17:40:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (17:41:18) | ===> btop++ v.1.4.0
2024/11/07 (17:41:18) | INFO: Logger set to INFO
2024/11/07 (17:41:18) | INFO: Running on /dev/pts/1
2024/11/07 (17:41:18) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/07 (17:41:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/07 (17:41:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (18:06:30) | ===> btop++ v.1.4.0
2024/11/07 (18:06:30) | INFO: Logger set to INFO
2024/11/07 (18:06:30) | INFO: Running on /dev/pts/2
2024/11/07 (18:06:30) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/07 (18:06:30) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/07 (18:06:30) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/07 (18:10:23) | INFO: Quitting! Runtime: 00:03:53

2024/11/07 (18:10:24) | ===> btop++ v.1.4.0
2024/11/07 (18:10:24) | INFO: Logger set to INFO
2024/11/07 (18:10:24) | INFO: Running on /dev/pts/2
2024/11/07 (18:10:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/07 (18:10:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/07 (18:10:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (19:32:32) | ===> btop++ v.1.4.0
2024/11/07 (19:32:32) | INFO: Logger set to INFO
2024/11/07 (19:32:32) | INFO: Running on /dev/pts/0
2024/11/07 (19:32:32) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/07 (19:32:32) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/07 (19:32:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (20:52:29) | ===> btop++ v.1.4.0
2024/11/07 (20:52:29) | INFO: Logger set to INFO
2024/11/07 (20:52:29) | INFO: Running on /dev/pts/1
2024/11/07 (20:52:29) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/07 (20:52:29) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/07 (20:52:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (22:42:01) | ===> btop++ v.1.4.0
2024/11/07 (22:42:01) | INFO: Logger set to INFO
2024/11/07 (22:42:01) | INFO: Running on /dev/pts/1
2024/11/07 (22:42:01) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/07 (22:42:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/07 (22:42:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (15:58:01) | ===> btop++ v.1.4.0
2024/11/08 (15:58:01) | INFO: Logger set to INFO
2024/11/08 (15:58:01) | INFO: Running on /dev/pts/0
2024/11/08 (15:58:01) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/08 (15:58:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/08 (15:58:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (18:42:18) | ===> btop++ v.1.4.0
2024/11/08 (18:42:18) | INFO: Logger set to INFO
2024/11/08 (18:42:18) | INFO: Running on /dev/pts/2
2024/11/08 (18:42:18) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/08 (18:42:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/08 (18:42:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (21:01:39) | ===> btop++ v.1.4.0
2024/11/08 (21:01:39) | INFO: Logger set to INFO
2024/11/08 (21:01:39) | INFO: Running on /dev/pts/2
2024/11/08 (21:01:39) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/08 (21:01:39) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/08 (21:01:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (21:18:20) | ===> btop++ v.1.4.0
2024/11/08 (21:18:20) | INFO: Logger set to INFO
2024/11/08 (21:18:20) | INFO: Running on /dev/pts/1
2024/11/08 (21:18:20) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/08 (21:18:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/08 (21:18:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (14:29:14) | ===> btop++ v.1.4.0
2024/11/09 (14:29:14) | INFO: Logger set to INFO
2024/11/09 (14:29:14) | INFO: Running on /dev/pts/1
2024/11/09 (14:29:14) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/09 (14:29:14) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/09 (14:29:14) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/09 (14:29:18) | INFO: Quitting! Runtime: 00:00:04
